date,close,open,high,low,volume
2024-01-03,11170.259765625,11204.849609375,11294.9296875,11136.2900390625,36280600
2024-01-04,11224.3701171875,11200.900390625,11224.3701171875,11139.16015625,21969200
2024-01-05,11185.900390625,11173.3603515625,11216.349609375,11113.75,17153300
2024-01-08,11230.400390625,11193.1298828125,11238.3798828125,11124.01953125,17263500
2024-01-09,11248.650390625,11228.4501953125,11261.419921875,11192.1201171875,19820500
2024-01-10,11255.0,11218.5400390625,11276.3896484375,11202.9501953125,25577400
2024-01-11,11153.6201171875,11291.7001953125,11309.9404296875,11151.080078125,20414100
2024-01-12,11226.400390625,11193.419921875,11255.01953125,11172.669921875,19463800
2024-01-15,11207.509765625,11239.1298828125,11264.7197265625,11202.349609375,13394100
2024-01-16,11229.650390625,11148.2802734375,11237.7900390625,11139.240234375,20111800
2024-01-17,11148.5595703125,11130.830078125,11148.5595703125,11088.8701171875,22777100
2024-01-18,11185.8798828125,11092.7900390625,11218.01953125,11088.6201171875,22626400
2024-01-19,11150.51953125,11237.259765625,11253.5595703125,11129.5703125,30996100
2024-01-22,11275.349609375,11223.75,11289.4404296875,11198.259765625,20239200
2024-01-23,11149.259765625,11283.0498046875,11287.4404296875,11149.259765625,21039600
2024-01-24,11196.8203125,11165.5595703125,11199.490234375,11144.16015625,21128800
2024-01-25,11209.01953125,11158.599609375,11209.01953125,11138.0400390625,18573500
2024-01-26,11390.1298828125,11248.650390625,11421.240234375,11245.3798828125,22997000
2024-01-29,11429.830078125,11367.0498046875,11437.4697265625,11360.2802734375,25496100
2024-01-30,11443.1298828125,11438.240234375,11473.5703125,11420.150390625,20176500
2024-01-31,11333.3798828125,11396.669921875,11422.400390625,11332.2197265625,33663500
2024-02-01,11213.91015625,11264.58984375,11295.4697265625,11194.3095703125,30786700
2024-02-02,11239.6796875,11287.1103515625,11300.8603515625,11231.490234375,22751600
2024-02-05,11274.4697265625,11257.2099609375,11295.08984375,11227.4501953125,21435500
2024-02-06,11245.0302734375,11315.5302734375,11318.3896484375,11192.3203125,35232400
2024-02-07,11210.25,11265.83984375,11267.4404296875,11206.01953125,32403900
2024-02-08,11138.849609375,11219.3603515625,11257.0400390625,11138.849609375,26547400
2024-02-09,11091.580078125,11153.51953125,11161.0595703125,11064.900390625,21056400
2024-02-12,11179.2998046875,11130.259765625,11184.1396484375,11117.400390625,18590600
2024-02-13,11142.7900390625,11206.91015625,11231.9404296875,11100.8798828125,25157000
2024-02-14,11213.6396484375,11141.33984375,11217.76953125,11141.33984375,18735500
2024-02-15,11284.1796875,11242.1796875,11292.0703125,11231.66015625,21441400
2024-02-16,11310.6103515625,11282.3701171875,11358.0,11282.3701171875,24495400
2024-02-20,11456.9599609375,11394.3203125,11477.4697265625,11375.5302734375,19423800
2024-02-21,11428.740234375,11437.9501953125,11454.2197265625,11407.669921875,18832400
2024-02-22,11386.169921875,11435.150390625,11455.099609375,11368.2802734375,32549000
2024-02-23,11496.759765625,11406.580078125,11505.7197265625,11402.0,22411700
2024-02-26,11452.8798828125,11495.580078125,11524.3603515625,11452.8798828125,22861900
2024-02-27,11440.4501953125,11433.650390625,11466.9501953125,11410.2802734375,21563500
2024-02-28,11414.3798828125,11460.8095703125,11498.9501953125,11414.3798828125,26140300
2024-02-29,11438.8603515625,11446.330078125,11486.4296875,11418.4501953125,44642800
2024-03-01,11493.919921875,11486.7197265625,11529.240234375,11456.2099609375,24614400
2024-03-04,11477.7998046875,11489.8798828125,11493.4697265625,11424.7900390625,22149600
2024-03-05,11463.740234375,11484.9697265625,11504.01953125,11447.8896484375,22133600
2024-03-06,11546.4697265625,11470.91015625,11546.4697265625,11463.009765625,23507300
2024-03-07,11575.3701171875,11492.669921875,11583.740234375,11470.76953125,31978600
2024-03-08,11647.1396484375,11581.669921875,11649.990234375,11580.240234375,34753200
2024-03-11,11685.1904296875,11634.5703125,11685.1904296875,11623.4697265625,26739900
2024-03-12,11762.0498046875,11721.58984375,11775.9697265625,11669.669921875,28081500
